"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SWITCH_DJ2235";1;"SWITCH_DJ2235";;;
2;"U1,U2";"BH2466";2;"BH411-1P";;;
3;"P3,P2";"1pin_2m5";2;"CONN_1";;;
4;"FUSE1";"PIN_ARRAY_2X1";1;"JUMPER";;;
5;"P6,P5";"fiducial15";2;"CONN_1";;;
6;"CONN1,CONN3";"SIL-14f1d1.5_double";2;"CONN_14";;;
7;"P7";"front_vsoh_logo";1;"BT";;;
8;"P8";"back_info_262013";1;"BT";;;
